student_id,name,registration_date,gender,branch,city,cgpa,attendance_percent,technical_skills,projects_completed,coding_problems_solved,communication_skill,internship,has_backlog,tech_events_attended,salary_expectation,placed
STU1401,Student_402,18-09-2025,Female,Information Technology,Delhi,6.99,87.2,6,0,14,3,No,Yes,4,550440,No
STU1283,Student_284,26-11-2025,Female,E.C.E,Gorakhpur,7.75,72.8,3,5,108,3,Yes,Yes,4,1053340,Yes
STU1414,Student_415,04-06-2025,Female,Mech ,Gorakhpur,7.05,66.2,7,4,176,,No,No,0,643550,Yes
STU1482,Student_483,14-09-2025,Male,Electronics,Prayagraj,7.24,73,4,0,103,1,No,Yes,3,580336,Yes
STU1419,Student_420,21-05-2025,Male,Information Technology,Gorakhpur,7.11,84.4,4,3,77,5,No,No,3,1093599,Yes
STU1168,Student_169,19-11-2025,Female,it,Patna,7.47,67.6,5,2,15,2,No,No,3,744072,Yes
STU1245,Student_246,17-04-2025,Male,C.S.E,Prayagraj,6.05,70.4,6,1,169,3,No,Yes,3,1387945,No
STU1552,Student_553,08-01-2025,Female,I.T ,Varanasi,7.24,73.9,5,5,278,3,No,No,,,Yes
STU1232,Student_233,21-01-2025,Female,Mech ,Patna,7.49,66.5,5,2,60,2,No,No,2,901042,Yes
STU1452,Student_453,15-07-2025,Male,civil,Gorakhpur,9.11,74.4,8,4,110,4,Yes,Yes,2,1130527,Yes
STU1588,Student_589,15-03-2025,Male,Electrical,Varanasi,6.99,69,4,5,343,2,No,Yes,3,759415,No
STU1324,Student_325,17-08-2025,Male,cse,Gorakhpur,7.85,79,6,4,165,2,Yes,Yes,0,654100,Yes
STU1140,Student_141,16-08-2025,Female,it,Delhi,7.27,84.7,5,3,60,3,No,No,2,657954,Yes
STU1292,Student_293,13-09-2025,Female, Computer Science,Prayagraj,7.99,80.2,4,2,41,4,Yes,No,0,675089,Yes
STU1115,Student_116,27-04-2025,Female,cse,Kanpur,8.83,68.7,6,0,89,2,Yes,Yes,0,414316,Yes
STU1249,Student_250,27-01-2025,Male,Electrical,Prayagraj,6.46,57.5,3,0,87,3,No,Yes,4,,No
STU1202,Student_203,09-12-2025,Female,cse,Prayagraj,7.74,77.1,5,2,120,4,No,Yes,2,487945,Yes
STU1101,Student_102,21-10-2025,Female,Information Technology,Gorakhpur,8.52,84.7,4,0,162,3,Yes,Yes,0,99000000,No
STU1517,Student_518,04-01-2025,Male, Computer Science,Gorakhpur,4.48,62.4,4,4,75,1,No,No,5,655864,No
STU1192,Student_193,18-03-2025,Male,CSE,Lucknow,6.47,78.9,3,0,211,2,No,No,0,906366,Yes
STU1511,Student_512,22-04-2025,Female,cse,Lucknow,6.6,80.8,2,2,58,2,No,Yes,1,922452,Yes
STU1465,Student_466,08-12-2025,Female,I.T ,Lucknow,9.08,75.5,9,4,96,2,Yes,No,1,542668,Yes
STU1239,Student_240,03-08-2025,Male, Computer Science,Varanasi,6.32,99.6,3,2,20,3,No,No,,428659,Yes
STU1404,Student_405,05-04-2025,Female,civil,Kanpur,7.09,75.2,6,1,211,4,No,No,2,749706,Yes
STU1243,Student_244,01-12-2025,Male,MECH,Prayagraj,5.57,78.6,8,2,370,4,Yes,Yes,3,704380,Yes
STU1428,Student_429,12-03-2025,Female,I.T ,Kanpur,8.39,75.8,2,3,325,,Yes,No,0,405492,Yes
STU1278,Student_279,05-12-2025,Female,Mech ,Gorakhpur,6.02,52.8,3,3,52,2,No,Yes,7,591317,No
STU1188,Student_189,02-08-2025,Male,C.S.E,Kanpur,8.28,76.7,7,1,54,3,No,No,2,549637,No
STU1132,Student_133,23-02-2025,Female,EEE,Varanasi,7.1,70,3,7,3,3,No,No,4,571741,Yes
